elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,0.08,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,0.04,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,0.08,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.22,0.23,0.21
36,LARK PLACE_5_id_2082,Low Volume,ac,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
37,KOTARE LANE_126_id_5715,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
38,MEANDER DRIVE_577_id_385,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
39,WIGRAM RD1_1200_id_2621,Arterial,seal,0.2,0.38,0.39,0.34,0.34,0.38,0.38,0.39,0.4,0.41,0.42,0.45,0.48,0.52,0.58,0.64
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,0.02,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
41,WICKHAM PLACE_178_id_663,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
42,AITKEN STREET_681_id_8,Access,seal,0.05,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14
43,OWLES TCE_388_id_1819,Primary Collector,seal,0.09,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21
44,HOODS ROAD_99_id_288,Secondary Collector,seal,0.08,0.17,0.19,0.2,0.22,0.25,0.28,0.32,0.36,0.4,0.44,0.47,0.51,0.54,0.57,0.6
45,THE PARADE_00000,Access,seal,0.04,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1
46,TAYLOR STREET (TU)_0_id_922,Access,seal,0.05,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.13
47,KAIMANAWA STREET_215_id_268,Access,seal,0.06,0.13,0.14,0.14,0.15,0.16,0.17,0.19,0.21,0.23,0.26,0.29,0.32,0.35,0.38,0.42
48,FORTUNE LANE_00000,Low Volume,ac,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
49,HASSALL STREET_851_id_390,Primary Collector,ac,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1
50,SANDHURST DRIVE_433_id_1031,Arterial,ac,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12
51,JUNCTION ROAD_2820_id_313,Access,seal,0.07,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.2,0.21,0.23
52,TRIPP SETTLEMENT ROAD_5850_id_953,Access,seal,0.04,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12
53,QUARRY ROAD_9200_id_487,Low Volume,seal,0.04,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.11,0.12,0.13
54,OBAN ROAD_15_id_426,Access,seal,0.04,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12
55,PEEL FOREST ROAD_10884_id_209,Secondary Collector,seal,0.08,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2
56,TAIEPA RD_895_id_5154,Access,seal,0.08,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.19,0.19
57,WALTHAM RD 3 EAST_298_id_2553,Regional,ac,0.34,0.34,0.46,0.56,0.64,0.69,0.72,0.73,0.74,0.75,0.75,0.12,0.12,0.13,0.13,0.13
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,0.06,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.13,0.13,0.13,0.13,0.13,0.14
59,MOFFAT ROAD_618_id_397,Regional,ac,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15
60,MAYFIELD LANE_0_id_379,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
61,BRIDGE STREET (ASHBURTON)_1138_id_78,Primary Collector,seal,0.06,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.18
62,CALIFORNIA DRIVE_00168,Primary Collector,seal,0.12,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.28
63,INLAND RD_24440,Primary Collector,seal,0.09,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.23,0.24,0.25,0.26,0.28
64,RUSHFORD ROAD_2384_id_5018,Low Volume,seal,0.03,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.09
65,LOWER DOWNS ROAD_6798_id_354,Secondary Collector,seal,0.03,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
66,MURCHISON DR_198_id_633,Access,seal,0.05,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14
67,VOGEL ST_98_id_5652,Access,seal,0.07,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18
68,DOWNS ROAD_624_id_260,Access,seal,0.03,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
69,BOWMONT ST_735_id_5257,Access,seal,0.05,0.11,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.14
70,KAIMAI VIEW DRIVE_23_id_1126,Low Volume,ac,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05
71,LONGBEACH ROAD_6475_id_349,Secondary Collector,seal,0.11,0.24,0.19,0.19,0.22,0.22,0.23,0.23,0.24,0.25,0.26,0.27,0.29,0.31,0.34,0.38
72,SHAKESPEARE AVENUE_00886,Primary Collector,seal,0.11,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.26,0.26,0.27,0.25
