elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,13.4,13.4,13.4,13.4,13.4,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99
59,MOFFAT ROAD_618_id_397,Regional,ac,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
60,MAYFIELD LANE_0_id_379,Low Volume,ac,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63
61,BRIDGE STREET (ASHBURTON)_1138_id_78,Primary Collector,seal,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,1,1,1,1,1,1
62,CALIFORNIA DRIVE_00168,Primary Collector,seal,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,1,1,1,1,1,1,1,1
63,INLAND RD_24440,Primary Collector,seal,6.27,6.27,6.27,6.27,6.27,6.27,6.27,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26
64,RUSHFORD ROAD_2384_id_5018,Low Volume,seal,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,3.76,3.76,3.76,3.76
65,LOWER DOWNS ROAD_6798_id_354,Secondary Collector,seal,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19
66,MURCHISON DR_198_id_633,Access,seal,15.5,15.5,15.5,15.5,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.83
67,VOGEL ST_98_id_5652,Access,seal,15.1,15.1,15.1,15.1,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58
68,DOWNS ROAD_624_id_260,Access,seal,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56
69,BOWMONT ST_735_id_5257,Access,seal,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
70,KAIMAI VIEW DRIVE_23_id_1126,Low Volume,ac,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,LONGBEACH ROAD_6475_id_349,Secondary Collector,seal,10.6,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.17,8.1,8.1,8.1,8.1,8.1
72,SHAKESPEARE AVENUE_00886,Primary Collector,seal,12.09,12.09,12.09,12.09,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.01
73,SEAFIELD ROAD_7460_id_536,Primary Collector,seal,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,8.02,8.02,8.02,8.02,8.02
74,BEACONSFIELD FLAT ROAD_1800_id_65,Low Volume,seal,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.71,6.71,6.71,6.71,6.71
