elem_index,area_name,onrc,surf_class,treat_2022,reason_2022,comment_2022,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036
22,GEORGE ST_0_id_5373,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.97; sdi =0.76; age =13.1,mesh_cracks =1.36; shoving =0.81; potholes =0,,,,,,,,,,,,,,,
23,KELVIN ST_0_id_5434,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,STAUNTON RD_123_id_5186,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.16; sdi =2.01; age =26.1,mesh_cracks =2.34; shoving =1.86; potholes =1.81,,,,,,,,,
25,TUARANGI ROAD_500_id_602,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,STEAD ST_2315_id_5130,Arterial,ac,,,,,,,,,,,,,,,,ThinAC,pdi =1.78; sdi =1.15; age =16.1,mesh_cracks =2.47; shoving =0.6; potholes =0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KERRIGAN CRESCENT_00003,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BANK ST_00000,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.44; sdi =1.56; age =12.1,mesh_cracks =1.61; shoving =1.32; potholes =0.35,,,,,,,,,,,,,,,,,,,,,,,,
29,FORTH ST_130_id_5366,Secondary Collector,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.92; sdi =1.2; age =20.5,mesh_cracks =1.43; shoving =1.08; potholes =1.07,,,,,,,,,,,,,,,,,,
31,OLIVE STREET_7_id_289,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.77; sdi =0.89; age =15.7,mesh_cracks =1.5; shoving =0; potholes =0
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,,,,,,,,,,,,,,,,ThinAC,pdi =1.78; sdi =1.19; age =23.7,mesh_cracks =2.59; shoving =0.62; potholes =0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.24; sdi =2.04; age =13.4,mesh_cracks =2.83; shoving =1.44; potholes =0.81,,,,,,
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,,,,SecondCoat,pdi =0; sdi =0; age =8.4,mesh_cracks =0; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.95; sdi =2.72; age =11,mesh_cracks =1.9; shoving =1.65; potholes =1.32,,,
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,,,,,,,,,,,,,ChipSeal,pdi =1.77; sdi =0.47; age =16.7,mesh_cracks =0.62; shoving =0.38; potholes =0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.73; sdi =2.29; age =10,mesh_cracks =1.55; shoving =0.85; potholes =0.4
36,LARK PLACE_5_id_2082,Low Volume,ac,,,,,,,,,,ThinAC,pdi =1.81; sdi =0.23; age =19.9,mesh_cracks =0.24; shoving =0.22; potholes =0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =2.2; sdi =0.85; age =10,mesh_cracks =0.88; shoving =0.7; potholes =0.1
37,KOTARE LANE_126_id_5715,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MEANDER DRIVE_577_id_385,Low Volume,ac,,,,,,,,,,ThinAC,pdi =1.89; sdi =0.24; age =26.9,mesh_cracks =0.26; shoving =0.22; potholes =0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WIGRAM RD1_1200_id_2621,Arterial,seal,,,,,,,,,,ChipSeal,pdi =3.75; sdi =4.27; age =9.5,mesh_cracks =10.84; shoving =1.01; potholes =0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2; sdi =1.16; age =18.5,mesh_cracks =1.84; shoving =0; potholes =0,,,,,,
41,WICKHAM PLACE_178_id_663,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AITKEN STREET_681_id_8,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.05; sdi =1.69; age =30.5,mesh_cracks =1.71; shoving =1.29; potholes =1.16,,,,,,,,,,,,,,,
43,OWLES TCE_388_id_1819,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.91; sdi =1.6; age =9.3,mesh_cracks =1.2; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,
44,HOODS ROAD_99_id_288,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,THE PARADE_00000,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.06; sdi =1.42; age =13.1,mesh_cracks =1.5; shoving =1.49; potholes =0.48,,,,,,,,,,,,
46,TAYLOR STREET (TU)_0_id_922,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.15; sdi =1.83; age =11.4,mesh_cracks =2; shoving =1.58; potholes =0.97,,,,,,,,,,,,,,,
47,KAIMANAWA STREET_215_id_268,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FORTUNE LANE_00000,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.97; sdi =1.04; age =23.5,mesh_cracks =1.53; shoving =0.7; potholes =0.1,,,,,,
49,HASSALL STREET_851_id_390,Primary Collector,ac,,,,,,,,,,,,,,,,,,,,,,ThinAC,pdi =1.75; sdi =1.26; age =16.2,mesh_cracks =2.03; shoving =0.91; potholes =0.91,,,,,,,,,,,,,,,,,,,,,
50,SANDHURST DRIVE_433_id_1031,Arterial,ac,,,,,,,,,,ThinAC,pdi =1.72; sdi =0.81; age =10.6,mesh_cracks =0.46; shoving =0.83; potholes =0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,JUNCTION ROAD_2820_id_313,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,TRIPP SETTLEMENT ROAD_5850_id_953,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.29; sdi =2.09; age =20.7,mesh_cracks =2.59; shoving =1.88; potholes =1.82,,,,,,,,,
53,QUARRY ROAD_9200_id_487,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,OBAN ROAD_15_id_426,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PEEL FOREST ROAD_10884_id_209,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.09; sdi =2.09; age =13.7,mesh_cracks =2.91; shoving =1.3; potholes =0.64,,,,,,,,,,,,
56,TAIEPA RD_895_id_5154,Access,seal,,,,,,,,,,,,,,,,ChipSeal,pdi =1.3; sdi =1.31; age =7.1,mesh_cracks =1.53; shoving =1.1; potholes =0.47,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.59; sdi =1.94; age =8,mesh_cracks =2.03; shoving =1.38; potholes =0.75
57,WALTHAM RD 3 EAST_298_id_2553,Regional,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RehabAC_UH,pdi =44.19; sdi =34; age =15.1,mesh_cracks =108.04; shoving =3.97; potholes =2.35,,,,,,,,,
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.09; sdi =4.15; age =22.4,mesh_cracks =2.2; shoving =0; potholes =0,,,,,,,,,,,,
59,MOFFAT ROAD_618_id_397,Regional,ac,,,,,,,,,,,,,,,,,,,ThinAC,pdi =2.14; sdi =1.56; age =10,mesh_cracks =3.03; shoving =0.82; potholes =0.23,,,,,,,,,,,,,,,,,,,,,,,,
60,MAYFIELD LANE_0_id_379,Low Volume,ac,,,,,,,,,,ThinAC,pdi =1.5; sdi =0; age =20.7,mesh_cracks =0; shoving =0; potholes =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BRIDGE STREET (ASHBURTON)_1138_id_78,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CALIFORNIA DRIVE_00168,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.61; sdi =0.77; age =9.3,mesh_cracks =1.62; shoving =0.7; potholes =0.1,,,,,,,,,,,,,,,,,,
63,INLAND RD_24440,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,RUSHFORD ROAD_2384_id_5018,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.08; sdi =1.97; age =19.6,mesh_cracks =2.24; shoving =1.83; potholes =1.79,,,,,,,,,
65,LOWER DOWNS ROAD_6798_id_354,Secondary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.77; sdi =1.63; age =14.4,mesh_cracks =1.94; shoving =1.37; potholes =0.78,,,
66,MURCHISON DR_198_id_633,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.29; sdi =3.5; age =23.5,mesh_cracks =1.67; shoving =1.29; potholes =1.28,,,,,,,,,,,,,,,
67,VOGEL ST_98_id_5652,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =2.1; sdi =1.13; age =22.1,mesh_cracks =1.54; shoving =1.1; potholes =1.07,,,,,,,,,,,,,,,,,,
68,DOWNS ROAD_624_id_260,Access,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.62; sdi =1.04; age =16.6,mesh_cracks =1.6; shoving =0; potholes =0
69,BOWMONT ST_735_id_5257,Access,seal,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.67; sdi =1.39; age =9.1,mesh_cracks =1.56; shoving =1.11; potholes =0.5,,,,,,,,,,,,,,,,,,,,,
70,KAIMAI VIEW DRIVE_23_id_1126,Low Volume,ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,LONGBEACH ROAD_6475_id_349,Secondary Collector,seal,,,,,,,ChipSeal,pdi =4.34; sdi =3.67; age =11.6,mesh_cracks =11.9; shoving =2.33; potholes =0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SHAKESPEARE AVENUE_00886,Primary Collector,seal,,,,,,,,,,,,,ChipSeal,pdi =1.36; sdi =1.44; age =24.9,mesh_cracks =2.34; shoving =0.39; potholes =0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal,pdi =1.32; sdi =2.19; age =10,mesh_cracks =1.62; shoving =1; potholes =0.44
73,SEAFIELD ROAD_7460_id_536,Primary Collector,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BEACONSFIELD FLAT ROAD_1800_id_65,Low Volume,seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
