elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,5.83,5.83,5.83,5.83
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,8.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,13.7,13.7,13.7,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.49,8.49
36,LARK PLACE_5_id_2082,Low Volume,ac,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
37,KOTARE LANE_126_id_5715,Low Volume,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
38,MEANDER DRIVE_577_id_385,Low Volume,ac,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9
39,WIGRAM RD1_1200_id_2621,Arterial,seal,3.9,3.9,3.9,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.95,3.95
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,11.78
41,WICKHAM PLACE_178_id_663,Low Volume,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
42,AITKEN STREET_681_id_8,Access,seal,23.4,23.4,23.4,23.4,23.4,23.4,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78
43,OWLES TCE_388_id_1819,Primary Collector,seal,1,1,1,1,1,1,1,1,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
