elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
37,KOTARE LANE_126_id_5715,Low Volume,ac,13.4,14.4,15.4,16.4,17.4,18.4,19.4,20.4,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4
38,MEANDER DRIVE_577_id_385,Low Volume,ac,24.9,25.9,26.9,27.9,28.9,29.9,30.9,31.9,32.9,33.9,34.9,35.9,36.9,37.9,38.9,39.9
39,WIGRAM RD1_1200_id_2621,Arterial,seal,7.5,8.5,9.5,0,1,2,3,4,5,6,7,8,9,10,0,1
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,0
41,WICKHAM PLACE_178_id_663,Low Volume,ac,15.9,16.9,17.9,18.9,19.9,20.9,21.9,22.9,23.9,24.9,25.9,26.9,27.9,28.9,29.9,30.9
42,AITKEN STREET_681_id_8,Access,seal,22.5,23.5,24.5,25.5,26.5,27.5,0,1,2,3,4,5,6,7,8,9
43,OWLES TCE_388_id_1819,Primary Collector,seal,2.3,3.3,4.3,5.3,6.3,7.3,8.3,9.3,0,1,2,3,4,5,6,7
44,HOODS ROAD_99_id_288,Secondary Collector,seal,9.5,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3
45,THE PARADE_00000,Access,seal,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,0,1,2,3
46,TAYLOR STREET (TU)_0_id_922,Access,seal,3.4,4.4,5.4,6.4,7.4,8.4,9.4,10.4,0,1,2,3,4,5,6,7
47,KAIMANAWA STREET_215_id_268,Access,seal,18.9,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2
48,FORTUNE LANE_00000,Low Volume,ac,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5
49,HASSALL STREET_851_id_390,Primary Collector,ac,10.2,11.2,12.2,13.2,14.2,15.2,16.2,17.2,18.2,19.2,20.2,21.2,22.2,23.2,24.2,25.2
50,SANDHURST DRIVE_433_id_1031,Arterial,ac,8.6,9.6,10.6,11.6,12.6,13.6,14.6,15.6,16.6,17.6,18.6,19.6,20.6,21.6,22.6,23.6
51,JUNCTION ROAD_2820_id_313,Access,seal,14.6,15.6,16.6,17.6,18.6,19.6,20.6,0,1,2,3,4,5,6,7,8
52,TRIPP SETTLEMENT ROAD_5850_id_953,Access,seal,10.7,11.7,12.7,13.7,14.7,15.7,16.7,17.7,18.7,19.7,20.7,0,1,2,3,4
53,QUARRY ROAD_9200_id_487,Low Volume,seal,15.6,16.6,17.6,18.6,19.6,20.6,21.6,22.6,23.6,24.6,0,1,2,3,4,5
54,OBAN ROAD_15_id_426,Access,seal,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4
55,PEEL FOREST ROAD_10884_id_209,Secondary Collector,seal,4.7,5.7,6.7,7.7,8.7,9.7,10.7,11.7,12.7,0,1,2,3,4,5,6
56,TAIEPA RD_895_id_5154,Access,seal,3.1,4.1,5.1,6.1,7.1,8.1,0,1,2,3,4,5,6,7,8,9
57,WALTHAM RD 3 EAST_298_id_2553,Regional,ac,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,0,1
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,13.4,14.4,15.4,16.4,17.4,0,1,2,3,4,5,6,7,8,9,10
59,MOFFAT ROAD_618_id_397,Regional,ac,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
