elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,0.06,0.24,0.24,0.24,0.24,0.25,0.25,0.27,0.27,0.27,0.28,0.28,0.24,0.24,0.24,0.24
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,0.05,0.21,0.21,0.21,0.21,0.21,0.22,0.23,0.23,0.24,0.24,0.25,0.26,0.21,0.21,0.21
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,0.06,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.25,0.26,0.27,0.23,0.23
36,LARK PLACE_5_id_2082,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04
37,KOTARE LANE_126_id_5715,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06
38,MEANDER DRIVE_577_id_385,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06
39,WIGRAM RD1_1200_id_2621,Arterial,seal,0.12,0.4,0.41,0.35,0.35,0.38,0.38,0.39,0.39,0.4,0.41,0.45,0.48,0.52,0.35,0.35
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,0.03,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12
41,WICKHAM PLACE_178_id_663,Low Volume,ac,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
42,AITKEN STREET_681_id_8,Access,seal,0.04,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18
43,OWLES TCE_388_id_1819,Primary Collector,seal,0.08,0.3,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31
44,HOODS ROAD_99_id_288,Secondary Collector,seal,0.06,0.16,0.16,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.22,0.24,0.16,0.16,0.18,0.19
45,THE PARADE_00000,Access,seal,0.04,0.17,0.17,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.19,0.19,0.16,0.16,0.16,0.16
46,TAYLOR STREET (TU)_0_id_922,Access,seal,0.04,0.15,0.15,0.17,0.17,0.17,0.17,0.18,0.15,0.15,0.15,0.15,0.16,0.16,0.17,0.18
47,KAIMANAWA STREET_215_id_268,Access,seal,0.04,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.22,0.17,0.17,0.19
48,FORTUNE LANE_00000,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
49,HASSALL STREET_851_id_390,Primary Collector,ac,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.11,0.12,0.13,0.14,0.16
50,SANDHURST DRIVE_433_id_1031,Arterial,ac,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.14,0.16,0.18
51,JUNCTION ROAD_2820_id_313,Access,seal,0.04,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.17
52,TRIPP SETTLEMENT ROAD_5850_id_953,Access,seal,0.03,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13
53,QUARRY ROAD_9200_id_487,Low Volume,seal,0.02,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1
54,OBAN ROAD_15_id_426,Access,seal,0.04,0.16,0.16,0.16,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16
55,PEEL FOREST ROAD_10884_id_209,Secondary Collector,seal,0.04,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18
56,TAIEPA RD_895_id_5154,Access,seal,0.04,0.16,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.2
57,WALTHAM RD 3 EAST_298_id_2553,Regional,ac,0.29,0.29,0.4,0.5,0.58,0.63,0.66,0.68,0.69,0.69,0.7,0.7,0.71,0.72,0.16,0.16
58,CHAPMAN STREET (METHVEN)_100_id_113,Access,seal,0.05,0.19,0.19,0.2,0.2,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17
59,MOFFAT ROAD_618_id_397,Regional,ac,0.16,0.16,0.16,0.16,0.16,0.18,0.18,0.19,0.19,0.21,0.22,0.24,0.26,0.3,0.35,0.39
60,MAYFIELD LANE_0_id_379,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
61,BRIDGE STREET (ASHBURTON)_1138_id_78,Primary Collector,seal,0.05,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19
62,CALIFORNIA DRIVE_00168,Primary Collector,seal,0.08,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.31
63,INLAND RD_24440,Primary Collector,seal,0.06,0.23,0.23,0.23,0.23,0.24,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24
64,RUSHFORD ROAD_2384_id_5018,Low Volume,seal,0.02,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.09,0.09,0.09,0.09
65,LOWER DOWNS ROAD_6798_id_354,Secondary Collector,seal,0.03,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17
66,MURCHISON DR_198_id_633,Access,seal,0.05,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.22,0.22,0.23,0.24,0.25,0.2
67,VOGEL ST_98_id_5652,Access,seal,0.05,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.24
68,DOWNS ROAD_624_id_260,Access,seal,0.03,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.15
69,BOWMONT ST_735_id_5257,Access,seal,0.04,0.16,0.16,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.19,0.19
70,KAIMAI VIEW DRIVE_23_id_1126,Low Volume,ac,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07
71,LONGBEACH ROAD_6475_id_349,Secondary Collector,seal,0.06,0.18,0.18,0.2,0.2,0.2,0.2,0.21,0.22,0.23,0.24,0.18,0.18,0.21,0.21,0.21
72,SHAKESPEARE AVENUE_00886,Primary Collector,seal,0.07,0.27,0.28,0.29,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.28,0.28,0.3,0.31,0.26
73,SEAFIELD ROAD_7460_id_536,Primary Collector,seal,0.36,0.72,0.75,0.77,0.78,0.8,0.81,0.83,0.85,0.86,0.89,0.27,0.27,0.27,0.27,0.27
74,BEACONSFIELD FLAT ROAD_1800_id_65,Low Volume,seal,0.02,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.11,0.11,0.11,0.11,0.11
75,ESK ST_697_id_5353,Secondary Collector,ac,0.07,0.07,0.08,0.08,0.09,0.1,0.12,0.13,0.15,0.17,0.19,0.22,0.24,0.27,0.31,0.34
76,LISMORE MAYFIELD ROAD_680_id_345,Secondary Collector,seal,0.04,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.17
77,SYLVAN ST_0_id_2341,Secondary Collector,seal,0.14,0.43,0.59,0.67,0.71,0.73,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.27
78,NURSERY DRIVE_405_id_441,Access,seal,0.04,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17
79,O'HARA ST_251_id_5536,Secondary Collector,seal,0.05,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23
80,REGENT STREET_6_id_491,Access,seal,0.05,0.21,0.22,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.23,0.23,0.24,0.25
81,RAKAIA RIVER ROAD_5756_id_494,Access,seal,0.02,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11
82,ARUNDEL RAKAIA GORGE ROAD_44176_id_31,Primary Collector,seal,0.06,0.22,0.23,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.21,0.22,0.22,0.23,0.19
83,ARGYLE GROVE_00214,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
84,SELLIERA PLACE_0_id_1369,Low Volume,ac,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05
85,FIELD STREET_00432,Secondary Collector,seal,0.13,0.41,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.28,0.29,0.24,0.24
86,HASS DRIVE_0_id_7108,Low Volume,ac,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08
87,PRESTONS RD_4510_id_1934,Arterial,seal,0.11,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.37,0.38,0.39,0.35,0.35,0.35,0.35
88,SUMMIT RD_24806_id_2327,Access,seal,0.03,0.14,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16
89,HERBERT STREET_802_id_139,Access,seal,0.07,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0.3,0.31
90,POOLES ROAD_402_id_471,Secondary Collector,ac,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.12,0.14
91,ACHILLES ST_330_id_2823,Secondary Collector,seal,0.06,0.18,0.18,0.21,0.21,0.21,0.23,0.24,0.24,0.18,0.19,0.21,0.21,0.23,0.24,0.24
92,CANAL ROAD_3000_id_151,Regional,seal,0.08,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.3,0.31,0.32,0.29
93,TAURIKURA DRIVE (WESTBOUND)_1397_id_2137,Arterial,ac,0.34,0.34,0.39,0.43,0.46,0.5,0.52,0.55,0.57,0.58,0.6,0.61,0.63,0.64,0.66,0.1
94,LOOKER ROAD_15970_id_1716,Low Volume,seal,0.03,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.11,0.11,0.12,0.12,0.12
95,STEWART ST_0_id_2297,Secondary Collector,seal,1,0.3,0.3,0.48,0.48,0.48,0.48,0.49,0.49,0.51,0.52,0.53,0.55,0.57,0.6,0.63
96,HARPER AVE 2 SOUTH_697_id_2778,Regional,seal,0.1,0.34,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.37,0.39,0.42,0.45,0.34,0.34,0.36
97,BUCKLANDS CRESCENT_164_id_1365,Low Volume,ac,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05
98,PINEHAVEN RD/WYNDHAM RD ROUNDABOUT_00000,Primary Collector,ac,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.18,0.2
99,AROWHENUA STATION ROAD_1550_id_32,Secondary Collector,seal,0.04,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19
100,WINCHESTER-HANGING ROCK ROAD_12500_id_1015,Access,seal,0.04,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.2,0.2,0.2
101,WHARF STREET_267_id_661,Primary Collector,seal,0.98,1,1,1,1,1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.38,0.39
102,BUSCOT GATE_0_id_404,Low Volume,ac,0.08,0.08,0.1,0.11,0.13,0.15,0.17,0.2,0.24,0.04,0.04,0.04,0.04,0.04,0.04,0.04
103,RABY LANE_0_id_7095,Access,ac,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
104,TANCRED STREET (RAKAIA)_714_id_730,Low Volume,seal,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.12,0.12,0.13
105,WHITBY ST_216_id_2610,Secondary Collector,seal,0.02,0.1,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12
106,MCLEANS ISLAND RD_8778_id_1588,Primary Collector,seal,0.06,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.26,0.26,0.23
107,THOMPSONS TRACK_22500_id_591,Primary Collector,seal,0.08,0.19,0.19,0.24,0.24,0.24,0.24,0.25,0.26,0.27,0.29,0.31,0.19,0.19,0.25,0.25
108,HINDS RIVER ROAD_0_id_282,Low Volume,seal,0.02,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09
109,VICTORIA AVE_502_id_5648,Arterial,ac,0.2,0.2,0.29,0.35,0.38,0.4,0.41,0.43,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16
110,BONNINGTONS ROAD_1179_id_71,Low Volume,seal,0.02,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.09
111,BREMNERS ROAD_0_id_77,Primary Collector,ac,0.08,0.08,0.08,0.09,0.09,0.11,0.12,0.14,0.15,0.17,0.19,0.22,0.24,0.27,0.3,0.33
112,FLINDERS RD_649_id_2729,Access,seal,0.05,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.2,0.2,0.21,0.22,0.23,0.18,0.18
113,ELLES RD_3341_id_5350,Arterial,ac,0.16,0.16,0.28,0.37,0.42,0.45,0.47,0.48,0.5,0.52,0.54,0.57,0.6,0.16,0.16,0.16
114,FOURTH AVENUE (WEST)_251_id_176,Low Volume,ac,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.12,0.14,0.15
115,HAY ST_628_id_1101,Primary Collector,seal,0.09,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.33,0.33,0.34,0.36,0.37,0.32,0.32,0.32
116,STRICKLAND ST_722_id_2315,Primary Collector,ac,0.14,0.14,0.17,0.2,0.23,0.27,0.3,0.33,0.36,0.39,0.42,0.45,0.48,0.51,0.54,0.57
117,AVON RD_0_id_5094,Secondary Collector,seal,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.22,0.22,0.22,0.21,0.21
118,FERGUSSON DRIVE_07197,Arterial,ac,0.12,0.12,0.12,0.13,0.14,0.16,0.18,0.21,0.25,0.29,0.33,0.37,0.41,0.44,0.48,0.51
119,HARRIER STREET_510_id_212,Low Volume,ac,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.12,0.13,0.15
120,MANUWAI DRIVE_612_id_356,Low Volume,ac,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08
121,LAGUNA GARDENS_92_id_3466,Low Volume,ac,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.11,0.12,0.14,0.16,0.19,0.22,0.26,0.31,0.37
122,OKA STREET_4_id_1438,Low Volume,ac,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
123,MAYFIELD KLONDYKE ROAD_1056_id_377,Access,seal,0.03,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16
124,LEWIS ST_851_id_5462,Access,seal,0.04,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.17,0.17
125,DOME ST_618_id_5322,Access,seal,0.05,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.22,0.23
126,WINCHESTER-HANGING ROCK ROAD_8743_id_1015,Access,seal,0.04,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.19,0.2,0.2,0.2,0.21
127,MESSINES AVENUE_00762,Primary Collector,seal,0.08,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.32,0.34,0.34,0.36,0.31,0.31,0.31
128,OXFORD STREET_0_id_457,Access,seal,0.04,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16
129,WAIMARIE ST EXTN_0_id_7119,Access,ac,0.19,0.19,0.21,0.23,0.26,0.3,0.33,0.38,0.42,0.47,0.52,0.57,0.63,0.68,0.09,0.09
130,MARINE PARADE_695_id_359,Primary Collector,ac,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.17,0.19,0.23
131,TAURIKURA DRIVE (EASTBOUND)_918_id_2139,Arterial,seal,0.08,0.29,0.29,0.29,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.29,0.29,0.3
132,SCHOOL RD_01022,Secondary Collector,seal,0.04,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.2,0.2,0.21,0.17,0.17
133,LEADER RD EAST_11200,Secondary Collector,seal,0.04,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16
134,BAY RD_3223_id_5171,Primary Collector,ac,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0.12,0.14,0.17,0.2,0.23,0.27,0.31,0.35,0.4
135,ALPINE AVE_00000,Access,seal,0.04,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.17
136,ISABELLA ST_243_id_5417,Primary Collector,seal,0.08,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3
137,KELLAND HILL ROAD_400_id_470,Primary Collector,seal,0.07,0.27,0.36,0.5,0.84,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.32,0.32
138,OPAKI KAIPARORO ROAD_2880_id_208,Access,seal,0.05,0.21,0.21,0.21,0.21,0.23,0.23,0.23,0.24,0.24,0.21,0.21,0.21,0.21,0.21,0.21
139,ANDREW STREET (TU)_6_id_21,Access,seal,0.09,0.31,0.32,0.18,0.18,0.18,0.18,0.19,0.19,0.21,0.21,0.22,0.24,0.19,0.19,0.19
140,ENDEAVOUR AVENUE_11_id_155,Access,seal,0.04,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19
141,ALEXANDER RD/DANTE RD ROUNDABOUT_00000,Primary Collector,ac,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.2,0.21,0.24,0.27,0.32
142,EAST STREET_1375_id_182,Arterial,ac,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.18,0.21,0.24,0.29,0.34,0.41,0.51,0.6,0.68
143,BALCAIRN AMBERLEY RD_05082,Primary Collector,seal,0.09,0.33,0.33,0.25,0.25,0.29,0.29,0.29,0.29,0.3,0.32,0.33,0.34,0.36,0.25,0.25
144,LEADER RD WEST_08000,Secondary Collector,seal,0.04,0.17,0.17,0.18,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18
145,GORDON STREET_497_id_123,Access,seal,0.05,0.21,0.23,0.23,0.24,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.24
146,LINE ROAD_10114_id_344,Secondary Collector,seal,0.05,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.17,0.17,0.19,0.19,0.19,0.19,0.19,0.2
147,WINCHESTER AVENUE_00000,Low Volume,seal,0.03,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15
148,MAFFEYS RD_143_id_1490,Secondary Collector,seal,0.07,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.24,0.24,0.26,0.26,0.27,0.27
